"fleet","year","Trips","Ages"
"NTWL.C",1980,1,8
"NTWL.C",1981,1,5
"NTWL.C",1982,2,12
"NTWL.C",1983,2,6
"NTWL.C",1984,1,1
"NTWL.C",1985,3,29
"NTWL.C",2002,3,22
"NTWL.C",2003,1,1
"NTWL.O",1997,1,17
"NTWL.O",1998,4,87
"NTWL.O",2001,5,39
"NTWL.W",2002,1,8
"NTWL.W",2004,3,22
"NTWL.W",2006,1,35
"NTWL.W",2007,2,6
"NTWL.W",2010,1,3
"NTWL.W",2013,1,10
"NTWL.W",2017,8,52
"NTWL.W",2018,13,81
"NTWL.W",2019,10,40
"NTWL.W",2021,16,108
"NTWL.W",2022,17,108
"TWL.C",1980,78,255
"TWL.C",1981,47,161
"TWL.C",1982,51,210
"TWL.C",1983,116,396
"TWL.C",1984,78,363
"TWL.C",1985,76,401
"TWL.C",1987,1,1
"TWL.C",2001,1,28
"TWL.C",2002,7,76
"TWL.C",2003,4,43
"TWL.C",2004,5,12
"TWL.C",2005,6,54
"TWL.C",2006,5,32
"TWL.C",2007,2,21
"TWL.C",2009,3,21
"TWL.O",1980,9,417
"TWL.O",1981,7,428
"TWL.O",1982,14,457
"TWL.O",1983,29,2724
"TWL.O",1984,19,1856
"TWL.O",1985,24,1204
"TWL.O",1986,16,807
"TWL.O",1987,29,1448
"TWL.O",1988,16,459
"TWL.O",1989,23,1055
"TWL.O",1990,20,998
"TWL.O",1991,22,850
"TWL.O",1992,32,1280
"TWL.O",1993,22,1110
"TWL.O",1994,4,200
"TWL.O",1995,14,794
"TWL.O",1996,18,1093
"TWL.O",1997,28,1537
"TWL.O",1998,28,1554
"TWL.O",1999,28,1516
"TWL.O",2000,16,491
"TWL.O",2001,24,733
"TWL.O",2002,51,1008
"TWL.O",2003,32,241
"TWL.O",2004,47,333
"TWL.O",2005,45,342
"TWL.O",2006,47,240
"TWL.O",2007,38,108
"TWL.O",2008,58,195
"TWL.O",2009,81,485
"TWL.O",2010,31,340
"TWL.O",2011,41,390
"TWL.O",2012,58,493
"TWL.O",2013,154,1150
"TWL.O",2014,146,1319
"TWL.O",2015,129,1571
"TWL.W",1980,9,753
"TWL.W",1981,18,1456
"TWL.W",1982,12,1168
"TWL.W",1983,17,1524
"TWL.W",1984,17,1326
"TWL.W",1985,17,1647
"TWL.W",1986,17,1501
"TWL.W",1987,24,1243
"TWL.W",1988,19,948
"TWL.W",1989,18,887
"TWL.W",1990,17,850
"TWL.W",1991,20,984
"TWL.W",1992,20,1000
"TWL.W",1993,17,802
"TWL.W",1994,15,749
"TWL.W",1995,22,1100
"TWL.W",1996,15,741
"TWL.W",1997,17,846
"TWL.W",1998,17,819
"TWL.W",1999,15,737
"TWL.W",2000,6,227
"TWL.W",2001,13,425
"TWL.W",2002,30,634
"TWL.W",2003,21,271
"TWL.W",2004,29,318
"TWL.W",2005,31,411
"TWL.W",2006,26,453
"TWL.W",2007,44,351
"TWL.W",2008,18,304
"TWL.W",2009,23,396
"TWL.W",2010,13,307
"TWL.W",2011,19,343
"TWL.W",2012,27,436
"TWL.W",2013,22,334
"TWL.W",2014,6,81
"TWL.W",2015,22,284
"TWL.W",2016,29,383
"TWL.W",2017,59,866
"TWL.W",2018,20,603
"TWL.W",2019,17,268
"TWL.W",2021,15,287
"TWL.W",2022,17,391
